product_name,price,source,product_url,image_url
"Tizum RouTou Series Bumper Sleeve Maximum Impact Protection Laptop Sleeve Case 13.3"" Apple MacBook (Black)","Rs. 1,699",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_2?ie=UTF8&adId=A07564662V5QD05JIDZJX&url=https%3A%2F%2Fwww.amazon.in%2FRouTou-Bumper-Maximum-Protection-MacBook%2Fdp%2FB01MRLR7I2%2Fref%3Dsr_1_51_sspa%3Fie%3DUTF8%26qid%3D1532870469%26sr%3D8-51-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870469&id=5704254783811183&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/51okcYZ71kL._AC_US218_.jpg
Scarters Premium Splash-proof Canvas Jet Black Messenger Bag with Faux Leather Styling for up to 14 inch Laptop/MacBook: The Retro,"Rs. 3,777",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A05141913U43DJ94XV4KZ&url=https%3A%2F%2Fwww.amazon.in%2FScarters-Premium-Splash-proof-Messenger-Leather%2Fdp%2FB078X8TWYP%2Fref%3Dsr_1_52_sspa%3Fie%3DUTF8%26qid%3D1532870469%26sr%3D8-52-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870469&id=5704254783811183&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41s3jKWI7HL._AC_US218_.jpg
product_name,price,source,product_url,image_url
"SanDisk iXpand 64GB Flash Drive for iPhones, iPads and Computers","Rs. 3,749",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A039923023ARU7JS60H4U&url=https%3A%2F%2Fwww.amazon.in%2FSanDisk-iXpand-Flash-iPhones-Computers%2Fdp%2FB01F6RWV0S%2Fref%3Dsr_1_17_sspa%3Fie%3DUTF8%26qid%3D1532871578%26sr%3D8-17-spons%26keywords%3Dapple%26psc%3D1&qualifier=1532871578&id=4954696611332227&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/31ZqGip4ZXL._AC_US218_.jpg
"(Certified Refurbished) Lenovo K8 Note (Black, 32GB)","Rs. 9,049",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_2?ie=UTF8&adId=A05785312RHQ1KV832GHW&url=https%3A%2F%2Fwww.amazon.in%2FCertified-Refurbished-Lenovo-K8-Note%2Fdp%2FB07911PY27%2Fref%3Dsr_1_18_sspa%3Fie%3DUTF8%26qid%3D1532871578%26sr%3D8-18-spons%26keywords%3Dapple%26psc%3D1&qualifier=1532871578&id=4954696611332227&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/51CDdwpuZbL._AC_US218_.jpg
Mobivax Bluetooth Smart Watch for all Android/IOS devices - Black,"Rs. 1,048",amazon.in,https://www.amazon.in/Mobivax-Bluetooth-Smart-Android-devices/dp/B078WCCQJJ/ref=sr_1_19?ie=UTF8&qid=1532871578&sr=8-19&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/31sw5SorveL._AC_US218_.jpg
Apple MK0C2ZM/A Pencil for Apple iPad Pro (White),"Rs. 7,600",amazon.in,https://www.amazon.in/Apple-MK0C2ZM-Pencil-iPad-White/dp/B016NY7784/ref=sr_1_20?ie=UTF8&qid=1532871578&sr=8-20&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/11VjxJi3AoL._AC_US218_.jpg
AmazonBasics 4.0 Amp Dual USB Car Charger for Apple and Android Devices - Black,Rs. 499,amazon.in,https://www.amazon.in/AmazonBasics-Charger-Apple-Android-Devices/dp/B06XD7QSMS/ref=sr_1_21?ie=UTF8&qid=1532871578&sr=8-21&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41vIOggvx2L._AC_US218_.jpg
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - White,Rs. 749,amazon.in,https://www.amazon.in/AmazonBasics-Apple-Certified-Lightning-Cable/dp/B010S9M3L6/ref=sr_1_22?ie=UTF8&qid=1532871578&sr=8-22&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/41MZzIj7WTL._AC_US218_.jpg
"Apple MGEN2HN/A All-in-One Desktop (Core i5/8GB/1TB/macOS High Sierra/Integrated Graphics), Silver","Rs. 55,490",amazon.in,https://www.amazon.in/Apple-MGEN2HN-macOS-High-Sierra-Integrated-Graphics/dp/B00OW5RU84/ref=sr_1_23?ie=UTF8&qid=1532871578&sr=8-23&keywords=apple,https://images-eu.ssl-images-amazon.com/images/I/21k5wzA1rsL._AC_US218_.jpg
