product_name,price,source,product_url,image_url
Dell/Hp/Acer Unused Laptops 60 % discount with warranty,Rs. 10500,olx.in,https://www.olx.in/item/dell-hp-acer-unused-laptops-60-discount-with-warranty-ID1hAbVR.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/mu17x87s7qgi2-IN/image;s=144x108;in_;slot=1;filename=mu17x87s7qgi2-IN_.jpg
HP Gas 19.3kg Neat condition,Rs. 1900,olx.in,https://www.olx.in/item/hp-gas-19-3kg-neat-condition-ID1mjwML.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/he2chcziqeg4-IN/image;s=144x108;in_;slot=1;filename=he2chcziqeg4-IN_.jpg
NEW OFFER Unused Dell/Hp Core i5 Laptops Starting,Rs. 14900,olx.in,https://www.olx.in/item/new-offer-unused-dell-hp-core-i5-laptops-starting-ID1gs4mH.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/41c5mvyotygo1-IN/image;s=144x108;in_;slot=1;filename=41c5mvyotygo1-IN_.jpg
HP i5 complete set with lcd,Rs. 13500,olx.in,https://www.olx.in/item/hp-i5-complete-set-with-lcd-ID1haP31.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/9wcdz7kdm0wm3-IN/image;s=144x108;in_;slot=1;filename=9wcdz7kdm0wm3-IN_.jpg
hp pavilion 25 inch monitor very good condition,Rs. 7000,olx.in,https://www.olx.in/item/hp-pavilion-25-inch-monitor-very-good-condition-ID1mjwCt.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/2x5bt2l13iuu1-IN/image;s=144x108;in_;slot=1;filename=2x5bt2l13iuu1-IN_.jpg
Sabse sasta corei5 Hp 320gb/4gb Like new conditions,Rs. 15000,olx.in,https://www.olx.in/item/sabse-sasta-corei5-hp-320gb-4gb-like-new-conditions-ID1k9wwf.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/jdimqwmppo4y1-IN/image;s=144x108;in_;slot=1;filename=jdimqwmppo4y1-IN_.jpg
Black And Gray HP Laptop,Rs. 18000,olx.in,https://www.olx.in/item/black-and-gray-hp-laptop-ID1mjwmD.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/gi2giy0pvyt21-IN/image;s=144x108;in_;slot=1;filename=gi2giy0pvyt21-IN_.jpg
1.5HP triple plunger car washer with jet nozzle only 6 months used,Rs. 20000,olx.in,https://www.olx.in/item/1-5hp-triple-plunger-car-washer-with-jet-nozzle-only-6-months-used-ID1mjwdd.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/yk6zq0munrki-IN/image;s=144x108;in_;slot=2;filename=yk6zq0munrki-IN_.jpg
HP i5 system with lcd,Rs. 13500,olx.in,https://www.olx.in/item/hp-i5-system-with-lcd-ID1hd0gf.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/crtkzbuz70h72-IN/image;s=144x108;in_;slot=1;filename=crtkzbuz70h72-IN_.jpg
HP Tower model Cor2duo,Rs. 4600,olx.in,https://www.olx.in/item/hp-tower-model-cor2duo-ID1hC1AX.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/6y23zwdqaeop1-IN/image;s=144x108;in_;slot=2;filename=6y23zwdqaeop1-IN_.jpg
HP i5 system with lcd,Rs. 13500,olx.in,https://www.olx.in/item/hp-i5-system-with-lcd-ID1hcZup.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/rzjf71u2zqxe3-IN/image;s=144x108;in_;slot=2;filename=rzjf71u2zqxe3-IN_.jpg
I5 HP complet system with lcd,Rs. 13500,olx.in,https://www.olx.in/item/i5-hp-complet-system-with-lcd-ID1hd0GL.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/q81e7ggejzgb1-IN/image;s=144x108;in_;slot=1;filename=q81e7ggejzgb1-IN_.jpg
Certified Refurbished HP pavilion 15 Laptop,Rs. 31500,olx.in,https://www.olx.in/item/certified-refurbished-hp-pavilion-15-laptop-ID1mjuOd.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/x6e1c5orky793-IN/image;s=144x108;in_;slot=1;filename=x6e1c5orky793-IN_.jpg
Black And Gray HP Laptop,Rs. 19000,olx.in,https://www.olx.in/item/black-and-gray-hp-laptop-ID1mjuLJ.html#1dbd07cf9f,https://apollo-singapore.akamaized.net/v1/files/pyzz7gnul6yz2-IN/image;s=144x108;in_;slot=1;filename=pyzz7gnul6yz2-IN_.jpg
